q,30Ｃ,60 C,80 C,100C
0.17836,0.00481,0.0056289,0.0065687,0.0066652
0.17878,0.005568,0.006725,0.0069814,0.0073591
0.1792,0.004696,0.0054985,0.0047682,0.0060833
0.17962,0.005387,0.0056159,0.0056166,0.0049311
0.18004,0.006385,0.0046432,0.005916,0.0055333
0.18046,0.006001,0.0063858,0.005752,0.0067561
0.18087,0.005658,0.0061174,0.0070083,0.0059697
0.18129,0.005861,0.0059128,0.0056348,0.0064614
0.18171,0.004742,0.0066999,0.0052427,0.0041833
0.18213,0.005551,0.0058075,0.0063548,0.0057379
0.18255,0.006184,0.0044758,0.0051896,0.0052924
0.18297,0.005287,0.005048,0.0062606,0.0064477
0.18339,0.00482,0.0046959,0.0051825,0.0059417
0.1838,0.005409,0.0050135,0.0066875,0.0073121
0.18422,0.005859,0.0048996,0.00531,0.0064955
0.18464,0.006164,0.0051093,0.005211,0.0066273
0.18506,0.005391,0.0064833,0.0058067,0.0056902
0.18548,0.004676,0.0038181,0.005958,0.0052561
0.1859,0.005387,0.0055425,0.0060182,0.0071894
0.18632,0.005007,0.0055331,0.0051936,0.0049136
0.18673,0.005812,0.0048521,0.0064229,0.0052659
0.18715,0.005457,0.0044473,0.0044133,0.0055273
0.18757,0.004612,0.0053906,0.0038216,0.0068545
0.18799,0.004498,0.0054856,0.0054621,0.0051258
0.18841,0.004148,0.0048935,0.004544,0.0050447
0.18883,0.005182,0.0040598,0.004018,0.0062621
0.18924,0.004592,0.0053294,0.0053821,0.0045659
0.18966,0.005111,0.0048253,0.0052244,0.0053023
0.19008,0.004447,0.0038647,0.003976,0.0042886
0.1905,0.004831,0.00525,0.0056815,0.0066652
0.19092,0.005045,0.0046165,0.0054977,0.0053235
0.19134,0.004372,0.0052465,0.0050953,0.0056114
0.19176,0.004059,0.004991,0.0051492,0.0056038
0.19217,0.005561,0.0051188,0.0043864,0.0067553
0.19259,0.00485,0.005206,0.0045091,0.0056788
0.19301,0.005108,0.0053509,0.0040869,0.0070083
0.19343,0.006233,0.0050368,0.0052292,0.0051348
0.19385,0.004738,0.0046372,0.0046771,0.0044606
0.19427,0.003853,0.0049574,0.0039444,0.0048947
0.19469,0.004405,0.003951,0.0045123,0.0046015
0.1951,0.003918,0.0071617,0.0041495,0.0061689
0.19552,0.00435,0.0078806,0.0050153,0.0047303
0.19594,0.005232,0.003598,0.0059453,0.0047848
0.19636,0.005285,0.0050195,0.0037455,0.0049023
0.19678,0.005669,0.0044508,0.0040299,0.0054591
0.1972,0.005623,0.0044231,0.0047737,0.0045394
0.19761,0.003646,0.0054959,0.0048957,0.0061492
0.19803,0.00515,0.0043696,0.0046486,0.0051826
0.19845,0.005023,0.003819,0.0057409,0.0039811
0.19887,0.004593,0.0041918,0.005028,0.0052258
0.19929,0.004635,0.005344,0.0042224,0.0044833
0.19971,0.004416,0.0050428,0.0051302,0.0054394
0.20013,0.004535,0.0035868,0.0049599,0.0047523
0.20054,0.004827,0.0051896,0.0045638,0.0047288
0.20096,0.005683,0.0039873,0.0038422,0.0046962
0.20138,0.004439,0.0046985,0.004746,0.0036659
0.2018,0.004425,0.0039907,0.004601,0.0032258
0.20222,0.005662,0.0041297,0.0040275,0.0049856
0.20264,0.004134,0.0060241,0.0051017,0.0058955
0.20305,0.003381,0.004033,0.0038778,0.0050023
0.20347,0.006609,0.0050213,0.004258,0.0047439
0.20389,0.004076,0.0040063,0.0032069,0.0045515
0.20431,0.002627,0.0038509,0.0047428,0.0055303
0.20473,0.004096,0.00392,0.0041131,0.0051288
0.20515,0.004007,0.005779,0.0042382,0.0028417
0.20556,0.004647,0.0035411,0.0040885,0.00415
0.20598,0.003876,0.0036084,0.004902,0.0044576
0.2064,0.004707,0.0046777,0.0039871,0.0051545
0.20682,0.004554,0.0044577,0.0029281,0.004775
0.20724,0.004285,0.0042738,0.0040149,0.0055773
0.20766,0.004576,0.002747,0.0049496,0.0027879
0.20808,0.002757,0.0051611,0.0038556,0.0053667
0.20849,0.004169,0.0044922,0.0039911,0.0036811
0.20891,0.003555,0.0039933,0.0052973,0.0042371
0.20933,0.004197,0.0029853,0.0042129,0.0048894
0.20975,0.004254,0.0042005,0.0032679,0.0038402
0.21017,0.003909,0.0033236,0.0045741,0.0043098
0.21059,0.003666,0.0034936,0.0037241,0.0059318
0.211,0.003604,0.0031372,0.0055841,0.0046689
0.21142,0.003896,0.0032355,0.003576,0.004728
0.21184,0.004658,0.0046044,0.0046818,0.0038455
0.21226,0.004539,0.0041366,0.0042778,0.0044227
0.21268,0.004423,0.0044387,0.0043571,0.0035515
0.2131,0.002942,0.0024268,0.0032497,0.0037265
0.21351,0.004167,0.0051697,0.0037788,0.0044985
0.21393,0.002063,0.0041159,0.0038041,0.0053015
0.21435,0.00358,0.0028964,0.0036291,0.004322
0.21477,0.003968,0.0032097,0.0035348,0.0028167
0.21519,0.004214,0.0038475,0.0042913,0.004778
0.21561,0.003418,0.0049712,0.003557,0.0044508
0.21603,0.003379,0.0027729,0.0034762,0.0040386
0.21644,0.003532,0.0039968,0.0038889,0.0054326
0.21686,0.004261,0.0049125,0.0044062,0.0033386
0.21728,0.004393,0.0038155,0.0034778,0.0054227
0.2177,0.002187,0.0026728,0.004319,0.0046121
0.21812,0.003293,0.0042117,0.002753,0.0052061
0.21854,0.003483,0.0034729,0.0038937,0.0038538
0.21895,0.004279,0.0029507,0.0041527,0.0048076
0.21937,0.002398,0.0042428,0.0024631,0.004628
0.21979,0.00287,0.0041375,0.0031467,0.0044606
0.22021,0.00422,0.0042039,0.0024955,0.0030977
0.22063,0.003355,0.0043938,0.0034097,0.0044174
0.22105,0.003434,0.0038207,0.0032869,0.0041053
0.22146,0.002447,0.0028644,0.0034081,0.0042061
0.22188,0.003838,0.0029499,0.0032085,0.0039924
