Q,I_obs,err,I_fit,I_fit_over_I_obs
1.822887185420839495e-01,6.278361456489789383e-02,8.072904210304784976e-04,6.374100597381768263e-02,1.015249064832515424e+00
1.886853522393059091e-01,6.172836817847198593e-02,7.704575960105675050e-04,6.158024713287864327e-02,9.976004380163575602e-01
1.952277147316726080e-01,5.810632894861366554e-02,7.516612052760589940e-04,5.951675789205801426e-02,1.024273241296858705e+00
2.018098375457103855e-01,5.687503791301174588e-02,7.218835942048041623e-04,5.757526246124312908e-02,1.012311632201500222e+00
2.085002909161943474e-01,5.407358594712386585e-02,6.974343441021876389e-04,5.572560250417954442e-02,1.030551266910078922e+00
2.157164826713502404e-01,5.321453362629571110e-02,6.501301918372871151e-04,5.385747982006634099e-02,1.012082154065011341e+00
2.232864832888701023e-01,5.141527377837869922e-02,6.403941467028334425e-04,5.202793636043798187e-02,1.011915964596437068e+00
2.308392220110309090e-01,4.961375437211344025e-02,6.216652300230139606e-04,5.032242634120268066e-02,1.014283780335873297e+00
2.384541492281614661e-01,4.843232629796859895e-02,5.919534826276772865e-04,4.871078752626431529e-02,1.005749491085407454e+00
2.466871024373974153e-01,4.728276560645391230e-02,5.655941724932684678e-04,4.707799047535813491e-02,9.956691380364640631e-01
2.551228988787717089e-01,4.519725569127782533e-02,5.514708692701303545e-04,4.551355004697189843e-02,1.006998087624048299e+00
2.640211177172789858e-01,4.338242853603244825e-02,5.054563600270372018e-04,4.397170898177198139e-02,1.013583389995101225e+00
2.732807479855638988e-01,4.245344607201063242e-02,5.160712507566590345e-04,4.247484804429241950e-02,1.000504128033457674e+00
2.822330290347649928e-01,4.117077835219044163e-02,4.924523140675616650e-04,4.112264683032482854e-02,9.988309299995768997e-01
2.920439865897109799e-01,3.959282791512986482e-02,4.443631733276558584e-04,3.973670807503419666e-02,1.003633995536079127e+00
3.022480341885022681e-01,3.833278874904828132e-02,4.561413137735911166e-04,3.838899447238584839e-02,1.001466257091429668e+00
3.122866481160652130e-01,3.704519177189481011e-02,4.298093959025263834e-04,3.714808033693203088e-02,1.002777379738529984e+00
3.231381141473891327e-01,3.550832238105130351e-02,4.295296440010776175e-04,3.589366048802981879e-02,1.010852050481104936e+00
3.343118730881861622e-01,3.458771239723557739e-02,4.178467818145916736e-04,3.468693158787706371e-02,1.002868625409566450e+00
3.459039275614308462e-01,3.365571650564614520e-02,4.164149093762999445e-04,3.351709922425506055e-02,9.958813153965142551e-01
3.575591038206403227e-01,3.265832330266259242e-02,4.048079226591264307e-04,3.241769616008607219e-02,9.926319811232653390e-01
3.694499927832214370e-01,3.141930299686102740e-02,4.201351725057991707e-04,3.136739187412621727e-02,9.983477952155719315e-01
3.825196365059411741e-01,2.940755180983027628e-02,4.247230819659852203e-04,3.028733666237110392e-02,1.029916970247306773e+00
3.957644323559594279e-01,2.838142009835366297e-02,4.656525656888275879e-04,2.926570536870359840e-02,1.031157189009059838e+00
