Q,I_obs,err,I_fit,I_fit_over_I_obs
4.800000000000000100e-02,7.730686018618461441e-02,4.270000000000000358e-03,7.024446208386450619e-02,9.086446133588773622e-01
4.880000000000000310e-02,6.472686018618462045e-02,4.400000000000000265e-03,6.884723992277948235e-02,1.063657957836093626e+00
4.959999999999999826e-02,6.547686018618462112e-02,4.179999999999999688e-03,6.747273783068274966e-02,1.030482183153297537e+00
5.040000000000000036e-02,6.964686018618461427e-02,4.259999999999999898e-03,6.628868538866979077e-02,9.517828256932541198e-01
5.120000000000000245e-02,6.371686018618462344e-02,4.199999999999999740e-03,6.518500716332524536e-02,1.023041734524435142e+00
5.199999999999999761e-02,6.174686018618462391e-02,4.159999999999999636e-03,6.411823772807241639e-02,1.038404827949751752e+00
5.279999999999999971e-02,6.533686018618461988e-02,4.060000000000000241e-03,6.321896774227721283e-02,9.675850287590765930e-01
5.360000000000000181e-02,5.995686018618462398e-02,4.029999999999999728e-03,6.233322112697933792e-02,1.039634512771605790e+00
5.439999999999999697e-02,6.659686018618461711e-02,4.009999999999999676e-03,6.150012187932893393e-02,9.234687897806781454e-01
5.519999999999999907e-02,5.762686018618461137e-02,3.980000000000000031e-03,6.074059766783160286e-02,1.054032745695096418e+00
5.600000000000000117e-02,6.035686018618462156e-02,3.980000000000000031e-03,5.999200224210685106e-02,9.939549880004976412e-01
5.680000000000000326e-02,6.166686018618461329e-02,3.860000000000000150e-03,5.927905119124657340e-02,9.612788945678640840e-01
5.759999999999999842e-02,5.388686018618461804e-02,3.939999999999999926e-03,5.859638513788456571e-02,1.087396536658993718e+00
5.840000000000000052e-02,5.314686018618461349e-02,3.810000000000000019e-03,5.792313546868543134e-02,1.089869378280645895e+00
5.920000000000000262e-02,4.868686018618462175e-02,3.870000000000000176e-03,5.726159570637920360e-02,1.176120117161051803e+00
5.999999999999999778e-02,5.985686018618462112e-02,3.769999999999999914e-03,5.661068598221363768e-02,9.457677166180490369e-01
6.079999999999999988e-02,5.897686018618461534e-02,3.789999999999999966e-03,5.596839783267382878e-02,9.489891061678539241e-01
6.160000000000000198e-02,5.282686018618461266e-02,3.739999999999999835e-03,5.532901609659661435e-02,1.047365221055980289e+00
6.239999999999999714e-02,4.930686018618461730e-02,3.789999999999999966e-03,5.469260710105573742e-02,1.109229159888387439e+00
6.320000000000000617e-02,4.805686018618461619e-02,3.640000000000000006e-03,5.406430544716801095e-02,1.125007027877164889e+00
6.400000000000000133e-02,4.854686018618462051e-02,3.690000000000000138e-03,5.344129444949826530e-02,1.100818760359428827e+00
6.479999999999999649e-02,5.069686018618461965e-02,3.650000000000000033e-03,5.281983597038904937e-02,1.041875882971998291e+00
6.560000000000000553e-02,4.934686018618461567e-02,3.579999999999999849e-03,5.220600294121911789e-02,1.057939709725137956e+00
6.640000000000000069e-02,4.617686018618462340e-02,3.599999999999999901e-03,5.159961049572169695e-02,1.117434366210101837e+00
6.719999999999999585e-02,4.617686018618462340e-02,3.500000000000000073e-03,5.100243442605575245e-02,1.104501999928415801e+00
6.800000000000000488e-02,4.462686018618461370e-02,3.609999999999999928e-03,5.041243211181171968e-02,1.129643266442889482e+00
